,n_rows,acc_gold,std_gold,acc_heuristic,std_heuristic
0,50,0.44000000000000006,0.12,0.5599999999999999,0.1854723699099141
1,60,0.6166666666666666,0.06666666666666665,0.6666666666666667,0.09128709291752769
2,70,0.6142857142857142,0.13248026422136722,0.6428571428571429,0.04517539514526258
3,80,0.675,0.11456439237389598,0.7125,0.05
4,90,0.6888888888888889,0.09686442096757052,0.6555555555555556,0.022222222222222185
5,100,0.58,0.0678232998312527,0.6,0.09486832980505136
6,110,0.6454545454545454,0.10123207932418224,0.6181818181818182,0.09791208740244552
7,120,0.6416666666666668,0.09718253158075503,0.6416666666666667,0.04249182927993987
8,130,0.6538461538461539,0.11147212881684186,0.6846153846153846,0.08904489925223252
9,140,0.6714285714285714,0.07953949089757174,0.6214285714285713,0.11203133672398657
10,150,0.6866666666666666,0.09333333333333335,0.5933333333333333,0.03265986323710904
11,160,0.64375,0.07551903733496608,0.61875,0.045927932677184584
12,170,0.6764705882352942,0.09300816647554057,0.6176470588235294,0.049215295678475046
13,180,0.6444444444444445,0.07114582486036497,0.6166666666666667,0.047790695928014576
14,190,0.6473684210526315,0.0773523076668372,0.6263157894736842,0.0713929471907923
15,200,0.605,0.0367423461417477,0.595,0.018708286933869726
16,210,0.6523809523809524,0.05553287518900288,0.6142857142857142,0.06281383789653773
17,220,0.6227272727272728,0.05102260072873555,0.6181818181818182,0.12563886328259322
18,230,0.6739130434782609,0.030743773095067265,0.6391304347826087,0.040320080415198724
19,240,0.6583333333333334,0.08994597143717874,0.6083333333333334,0.04639803635691685
20,250,0.6880000000000001,0.06881860213634103,0.6399999999999999,0.08485281374238571
21,260,0.6538461538461539,0.04033880185269812,0.6576923076923077,0.07634397400492003
22,270,0.7074074074074075,0.03186046395200975,0.662962962962963,0.0706621630679219
23,280,0.6964285714285715,0.033881546358946885,0.6678571428571429,0.09556491543042611
24,290,0.689655172413793,0.0393163939689358,0.6448275862068966,0.0371390676354104
25,300,0.6833333333333333,0.05270462766947298,0.6599999999999999,0.016996731711975955
26,310,0.6741935483870968,0.07023077760347497,0.667741935483871,0.05913000896717212
27,320,0.709375,0.050967207594687786,0.6625,0.07756046028744286
28,330,0.6575757575757575,0.04555544357082698,0.6878787878787879,0.07521014330903551
29,340,0.7088235294117646,0.07635738226910099,0.6852941176470588,0.06935191836795054
30,350,0.6457142857142857,0.022857142857142822,0.6685714285714286,0.048149427275293456
31,360,0.6777777777777778,0.0565194165260439,0.6722222222222223,0.058663089116507985
32,370,0.6756756756756757,0.040087559389706276,0.6702702702702702,0.047277988336583546
33,380,0.6657894736842106,0.03777026340633505,0.6526315789473685,0.03179748940419624
34,390,0.6538461538461539,0.045145684260664135,0.676923076923077,0.029681633084077477
35,400,0.66,0.06726812023536857,0.66,0.04898979485566358
36,410,0.6585365853658537,0.026718173536837395,0.6658536585365854,0.03902439024390244
37,420,0.6476190476190475,0.025643641938735754,0.6785714285714286,0.02497163924214643
38,430,0.6604651162790697,0.03239160064461424,0.6627906976744186,0.058833072747318686
39,440,0.6318181818181818,0.02746146812180582,0.6636363636363636,0.019813177016093985
40,450,0.6422222222222222,0.021545243810739242,0.6622222222222222,0.03758118783397279
41,460,0.6608695652173913,0.02948839123097941,0.6782608695652174,0.034782608695652154
42,470,0.6617021276595745,0.021697955376990572,0.6808510638297873,0.024259051597854017
43,480,0.675,0.049913118961295584,0.6729166666666666,0.014129854131510971
44,490,0.6775510204081632,0.03740878118331297,0.683673469387755,0.03095051201653695
45,500,0.658,0.06523802572120034,0.678,0.0406939798987516
46,510,0.6568627450980392,0.013864838846795064,0.6823529411764706,0.029477051722299828
47,520,0.6423076923076924,0.03407700989744105,0.6673076923076924,0.01783388172210711
48,530,0.6509433962264151,0.045439979542612426,0.6641509433962264,0.020321376630696237
49,540,0.6518518518518517,0.04327156090943675,0.6648148148148149,0.03384382756017975
50,550,0.6545454545454545,0.022998382983042725,0.6709090909090909,0.013360853142453683
51,560,0.6571428571428571,0.047110378422403294,0.6678571428571428,0.02286830084797446
52,570,0.650877192982456,0.030588764516074916,0.6614035087719298,0.03167626330748734
53,580,0.6465517241379309,0.05114619646272871,0.6603448275862069,0.03681751121390106
54,590,0.6576271186440679,0.048712230044745446,0.6593220338983051,0.016432813075987564
55,600,0.655,0.046127841676993506,0.6533333333333333,0.015456030825826162
56,610,0.660655737704918,0.041016380338350165,0.6639344262295082,0.03879396579081717
57,620,0.6419354838709678,0.030001734254416584,0.6532258064516129,0.03983577108138212
58,630,0.6714285714285715,0.03158690276528955,0.6571428571428571,0.029008995051582637
59,640,0.6640625,0.037952993129659746,0.665625,0.04775220871855039
60,650,0.6399999999999999,0.02250575205896584,0.6584615384615384,0.035617959700892994
61,660,0.6363636363636364,0.017275385228774802,0.6606060606060605,0.032987183419814
62,670,0.6686567164179105,0.03290359355977404,0.6507462686567165,0.01852190096416543
63,680,0.6661764705882354,0.04778846120374094,0.6691176470588236,0.028287329502457867
64,690,0.6710144927536232,0.05074533739133798,0.6492753623188406,0.0344793543575951
65,700,0.6614285714285715,0.0646181878737065,0.6585714285714286,0.03843892584878202
66,710,0.6366197183098592,0.043090305748671405,0.6633802816901408,0.03968733184114187
67,720,0.6583333333333334,0.03962595171579751,0.6749999999999999,0.03788383804718295
68,730,0.6671232876712329,0.060118104815045745,0.6520547945205479,0.06008688273825016
69,740,0.6581081081081082,0.0361596977304315,0.6594594594594595,0.03715601914829058
70,750,0.6626666666666666,0.0317210060089875,0.652,0.01950498511777039
71,760,0.6552631578947368,0.03496139540943794,0.6565789473684209,0.033649241717222174
72,770,0.6454545454545455,0.038218023297564054,0.6545454545454545,0.0441176305232806
73,780,0.65,0.04452244962611628,0.6461538461538462,0.0452184412526882
74,790,0.660759493670886,0.03810105555263901,0.6569620253164558,0.05609751849660847
75,800,0.6525000000000001,0.04978076937934968,0.64375,0.051991585857713574
76,810,0.6567901234567901,0.028582313340222765,0.6481481481481481,0.02973233229331432
77,820,0.6560975609756097,0.03887165231831518,0.6439024390243903,0.03588765602332235
78,830,0.6771084337349398,0.047372537955030124,0.6493975903614457,0.041281546262679054
79,840,0.6678571428571429,0.04957300669918335,0.6488095238095237,0.0450182628599739
80,850,0.6529411764705882,0.03470089695000615,0.6364705882352941,0.032730418219396595
81,860,0.6604651162790697,0.025369097941013292,0.6406976744186046,0.047003216119552875
82,870,0.6632183908045977,0.03857002697830463,0.6436781609195402,0.04346590896825066
83,880,0.6772727272727271,0.03876982297552724,0.6397727272727274,0.03727549878831073
84,890,0.6471910112359551,0.02895303084657328,0.6460674157303371,0.03463153934252235
85,900,0.6444444444444445,0.044859176084858544,0.6333333333333334,0.04021546904634191
86,910,0.6659340659340659,0.04414793280571574,0.6417582417582418,0.05100132477306501
87,920,0.6706521739130434,0.03198682384687429,0.6478260869565218,0.03818297406576151
88,930,0.6505376344086022,0.043941541380005486,0.6387096774193548,0.03684267032045548
89,940,0.6457446808510638,0.02618836941508758,0.6436170212765957,0.05001131605763047
90,950,0.6505263157894737,0.038618813321777176,0.6473684210526316,0.04478325765512137
91,960,0.6697916666666667,0.03556952308117473,0.6406249999999999,0.03176656392078521
92,970,0.6659793814432989,0.04192721527353145,0.6360824742268042,0.03782254912957553
93,980,0.6724489795918367,0.02569322104492687,0.6479591836734694,0.03384311010566735
94,990,0.6818181818181819,0.026724760717824158,0.6404040404040404,0.03661529082907447
95,1100,0.6581818181818181,0.022342192231717302,0.6445454545454545,0.022890324203662146
96,1200,0.6883333333333334,0.013794121131039052,0.6458333333333334,0.00745355992499931
97,1300,0.6761538461538461,0.017439667767314846,0.6607692307692308,0.01656973786810615
98,1400,0.6842857142857142,0.01787142286170974,0.6635714285714285,0.03067272936226271
99,1500,0.6839999999999999,0.026783079235467567,0.6559999999999999,0.028237091446063144
100,1600,0.671875,0.016298006013006613,0.656875,0.013317047345414064
101,1700,0.6705882352941176,0.018130629420496973,0.6594117647058824,0.02385074697966271
102,1800,0.6900000000000001,0.017533037597843925,0.6605555555555556,0.011027462911821778
103,1900,0.6810526315789474,0.011697953037312072,0.6599999999999999,0.01366395261657597
104,2000,0.6825,0.018907670401189024,0.658,0.014439529078193677
105,2100,0.6723809523809524,0.012741988724056817,0.6580952380952381,0.01829464067837957
106,2200,0.6931818181818182,0.009425655160603508,0.6586363636363636,0.021865479037828543
107,2300,0.6782608695652174,0.015186303649193888,0.6586956521739131,0.021869176243407444
108,2400,0.6758333333333333,0.01589898669028242,0.6591666666666667,0.017998842555379313
109,2500,0.6839999999999999,0.012198360545581488,0.6684000000000001,0.00542586398650022
110,2600,0.6907692307692308,0.0046153846153845985,0.661923076923077,0.024488857507279384
111,2700,0.6874074074074075,0.017028983603811314,0.6648148148148147,0.015669774667634206
112,2800,0.6914285714285715,0.003642156795423405,0.6582142857142859,0.011823532398033462
113,2900,0.6810344827586207,0.010628300005118907,0.6620689655172414,0.009994052928406487
114,3000,0.6796666666666666,0.01363818169698586,0.6633333333333333,0.016499158227686096
115,3100,0.6909677419354838,0.011790752827417443,0.6603225806451613,0.01931716764074824
116,3200,0.6840625,0.011541365820387133,0.6612500000000001,0.012823927830426973
117,3300,0.683030303030303,0.0176279267542412,0.6612121212121211,0.01702372352144016
118,3400,0.6808823529411764,0.007725838550919833,0.658235294117647,0.007180326832784505
119,3500,0.6808571428571428,0.014585427449257391,0.6602857142857144,0.01059071599591465
120,3600,0.6866666666666666,0.017537437908516234,0.6597222222222222,0.014163943093313279
121,3700,0.694054054054054,0.007480190542215153,0.6624324324324324,0.016951785708720763
122,3800,0.6902631578947369,0.009690501389222098,0.6647368421052632,0.014254318488369326
123,3900,0.6846153846153846,0.017709022204955904,0.6612820512820513,0.012493259194953685
124,4000,0.6965,0.011467344941179704,0.66325,0.00937416662962633
125,4100,0.6860975609756097,0.005376928703670346,0.6639024390243902,0.011139694874799265
126,4200,0.6852380952380952,0.010174219342486432,0.6626190476190476,0.016710825852730087
127,4300,0.683953488372093,0.015239213884098459,0.6623255813953487,0.01168821569593403
128,4400,0.6804545454545454,0.009890934157722246,0.6643181818181818,0.008672174558335901
129,4500,0.6846666666666666,0.008415153879449558,0.6597777777777778,0.008872206567856497
130,4600,0.6856521739130435,0.008814406492484071,0.6652173913043478,0.008641133441022516
131,4700,0.6840425531914894,0.009796480368699014,0.6651063829787234,0.010773607575465692
132,4800,0.6827083333333334,0.008111634305804897,0.6679166666666667,0.009114434522594764
133,4900,0.6846938775510203,0.020110067805836754,0.6644897959183673,0.009383317495977657
134,5000,0.6854,0.011757550765359224,0.6672,0.00823164625090268
135,5100,0.692156862745098,0.012509127770773768,0.6656862745098039,0.013655282624690316
136,5200,0.6815384615384615,0.0077736088197721785,0.6661538461538461,0.009680548422040948
137,5300,0.6926415094339623,0.01882447828111231,0.660566037735849,0.01818969698867173
138,5400,0.689074074074074,0.015230285329594149,0.6655555555555555,0.014059446589705435
139,5500,0.6874545454545455,0.01371974507630071,0.6638181818181819,0.011345804190416503
140,5600,0.6933928571428571,0.017978161355218895,0.6628571428571428,0.01807545127446368
141,5700,0.6892982456140351,0.016187954209715468,0.6666666666666667,0.012939711519007554
142,5800,0.6893103448275862,0.004771845690723486,0.665,0.013114786383266606
143,5900,0.6876271186440678,0.014674481913161612,0.6649152542372881,0.009626760556720619
144,6000,0.6836666666666666,0.009258629608220766,0.6663333333333334,0.012208831047874956
145,6100,0.6881967213114754,0.005645631264827082,0.6663934426229507,0.0017958116639513824
146,6200,0.6833870967741935,0.010183028463009442,0.6662903225806451,0.007989978113871513
147,6300,0.6887301587301587,0.007434945034051002,0.6666666666666666,0.008908708063747474
148,6400,0.6846875,0.00836484925895259,0.6665625000000001,0.008520998877772466
149,6500,0.6815384615384614,0.005838051064926239,0.67,0.013517466237839268
150,6600,0.6837878787878788,0.015351707759382245,0.6681818181818182,0.009618527423093286
151,6700,0.6897014925373133,0.00982583915858675,0.67,0.007101717763206172
152,6800,0.6897058823529412,0.006116657159730985,0.6679411764705883,0.005572733918087213
153,6900,0.6866666666666668,0.009343050122484767,0.6673913043478261,0.008108174336637308
154,7000,0.6847142857142857,0.010800604669391893,0.6687142857142857,0.010559839207186473
155,7100,0.684225352112676,0.015212571670757326,0.6692957746478874,0.014312243341363636
156,7200,0.6859722222222222,0.007775297223487976,0.6691666666666667,0.009953596037316065
157,7300,0.6868493150684931,0.008786365868944991,0.6642465753424658,0.016377742128579557
158,7400,0.6928378378378378,0.006475215432816719,0.665945945945946,0.005381704797767534
159,7500,0.6916,0.009803400770480957,0.6656000000000001,0.0033359989341858265
160,7600,0.6917105263157894,0.007093069458917641,0.6681578947368421,0.010637569963898804
161,7700,0.6933766233766233,0.010657266617625257,0.6685714285714285,0.009379464979359865
162,7800,0.6879487179487179,0.01288700704936316,0.6662820512820513,0.01084527486284954
163,7900,0.6954430379746835,0.007006760761062295,0.6684810126582279,0.006666933712538581
164,8000,0.697625,0.006051859218455102,0.669625,0.012428545771730517
165,8100,0.6912345679012347,0.007908946853356533,0.6685185185185186,0.004502366056496406
166,8200,0.697439024390244,0.009713320854507239,0.6703658536585366,0.012989951729126821
167,8300,0.6948192771084337,0.006067314849163432,0.6719277108433735,0.0066276012238434285
168,8400,0.7010714285714286,0.006132974701138725,0.6715476190476192,0.0103468750417337
169,8500,0.6945882352941176,0.0034178444814903395,0.672235294117647,0.010412927818051223
170,8600,0.6991860465116279,0.009959354932727387,0.6690697674418604,0.007366992586724247
171,8700,0.6919540229885058,0.009954314986028032,0.6694252873563219,0.010530893720502409
172,8800,0.6967045454545454,0.009598069278990337,0.6668181818181818,0.010375192918648498
173,8900,0.698876404494382,0.012096276662774599,0.6684269662921347,0.00996395473141363
174,9000,0.6911111111111111,0.003220305943597674,0.6685555555555556,0.005948337250810764
175,9100,0.6968131868131868,0.0058086045214956255,0.6684615384615384,0.005445939205874259
176,9200,0.6920652173913043,0.006268639502302706,0.6684782608695652,0.007102743153349796
177,9300,0.6986021505376343,0.006348640610376575,0.6676344086021506,0.0030489133072597284
178,9400,0.6923404255319149,0.008064082407764787,0.6667021276595745,0.008230770695270083
179,9500,0.6932631578947369,0.006141453535079928,0.6691578947368421,0.009252386081408723
180,9600,0.700625,0.01341042168323662,0.6665625,0.013430634551071845
181,9700,0.6987628865979382,0.007198800103132417,0.669381443298969,0.004245620676695703
182,9800,0.6998979591836736,0.009315382074307921,0.6685714285714285,0.013855023732647864
183,9900,0.6990909090909091,0.006080774522542385,0.6697979797979798,0.014034225804410813
